"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/disks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.compute/disks/chefserver_osdisk_1_4ac49251558f418daeefd1eb96c508e2";"chefserver_osdisk_1_4ac49251558f418daeefd1eb96c508e2";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:52 PM";"10/18/2021 4:30:58 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/disks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.compute/disks/chefworkstation_osdisk_1_0d50fd201b2e4d0e9e42c9f2aaa3f419";"chefworkstation_osdisk_1_0d50fd201b2e4d0e9e42c9f2aaa3f419";"australiacentral";;"10/18/2021 4:36:54 PM";"10/18/2021 4:47:01 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/virtualmachines";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.compute/virtualmachines/chefserver";"chefserver";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:47 PM";"10/18/2021 4:32:02 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/virtualmachines";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.compute/virtualmachines/chefworkstation";"chefworkstation";"australiacentral";;"10/18/2021 4:36:51 PM";"10/18/2021 4:48:07 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/networkinterfaces/chefserver406";"chefserver406";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:41 PM";"10/18/2021 4:30:51 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/networkinterfaces/chefworkstation997";"chefworkstation997";"australiacentral";;"10/18/2021 4:36:46 PM";"10/18/2021 4:46:49 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/networksecuritygroups/chefserver-nsg";"chefserver-nsg";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:34 PM";"10/18/2021 4:30:44 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networksecuritygroups";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/networksecuritygroups/chefworkstation-nsg";"chefworkstation-nsg";"australiacentral";;"10/18/2021 4:36:40 PM";"10/18/2021 4:46:50 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/publicipaddresses/chefserver-ip";"chefserver-ip";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:34 PM";"10/18/2021 4:30:45 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/publicipaddresses";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/publicipaddresses/chefworkstation-ip";"chefworkstation-ip";"australiacentral";;"10/18/2021 4:36:40 PM";"10/18/2021 4:46:54 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/virtualnetworks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/chef/providers/microsoft.network/virtualnetworks/chef-vnet";"chef-vnet";"australiacentral";"@{Name=ChefServer}";"10/18/2021 4:20:34 PM";"10/18/2021 4:30:43 PM"
